"Product ID","Category","Brand","Name","Description","Rating","Review Count"
"346247","headphones","SODEE","SODEE Folding Stereo Wired Headphones For Kids,Girls Headphones,Boys Headphone,In-line Microphone Remote Control Over ear Headphone with Soft Earpads for Cellphones PC Gaming Devices(Pink)","Buy SODEE Folding Stereo Wired Headphones For Kids, Girls Headphones, Boys Headphone, In-line Microphone Remote Control Over ear Headphone with Soft Earpads for Cellphones PC Gaming Devices(Pink): Bluetooth Headsets - Amazon.com ? FREE DELIVERY possible o","4.140601503759399","133"
"6303","headphones","Sennheiser","Sennheiser RS120 On-Ear 926MHz Wireless RF Headphones with Charging Cradle","Buy the Sennheiser HDR 120 Additional Headset for RS 120 without Base Transmitter at Full Compass. Sennheiser's HDR 120 RF wireless headphones are an inexpensive supplementary or expansion set, operating in the 863MHz or 926MHz variant frequency range, an","4.059852456560814","26704"
"6304","headphones","Plantronics","CS50 Wireless Office Headset by Plantronics - CS50","Low Low Low Prices on Major Appliances and Small Appliances; TVs and other Consumer Electronics; Phones & Communications Equipment; Projectors, Projector Lamps, Projector Screens, Projector Cases and other Audiovisual equipment; Office Equipment, Office F","4.036760563380281","710"
"6305","headphones","Sennheiser","MOMENTUM Closed Over-Ear Headphone","Sennheiser MOMENTUM - Black &bull; Premium Leather Padded Over-Ear Audiophile Headphones Closed-Back Studio Design & Hard Carrying Case &bull; Over-Ear Premium Studio Closed-back Audiophile Headphones  &bull; Closed Circumaural Headphone Design Isolate Ag","4.22663139329806","1134"
"6308","headphones","Audio-Technica","Audio-Technica ATH-M50WH Professional Studio Monitor Headphones","Buy Audio-Technica ATH-M50 Professional Closed-Back Studio Headphones with Coiled Cable (Ice White) from beachcamera.com with fast and free shipping.","4.722696629213484","890"
"6312","headphones","Sony","Sony MDR-V6 / MDR-V6 Studio Monitor Headphone - Comfort and portability of the studio monitor headphones","Sony MDRV6 Stereo Studio Series Headphones with Closed Back & Attached 10' Coiled Cable.
Studio Monitor Series Headphones
Listen to high fidelity sound when you slip on the powerful, professionally-styled MDR-V6 studio monitor headphones.","4.6398753894080995","1605"
"6314","headphones","Audio-Technica","Audio-Technica ATH-M30 Professional Studio Monitor Closed-back Dynamic Stereo Headphones","These closed-back dynamic monitor headphones provide exceptional clarity and superior isolation in high-volume listening situations. 11-foot (3.4 m) cable, 3.5 mm stereo connector with screw-on 1/4-inch adapter.","3.994444444444445","36"
"364712","headphones","JVC","JVC HA-EBX85-P Sports In Ear Clip Headphones Pink","These JVC Sports Headphones (Model HAEBX85) are designed especially for use during gym practices and other workout sessions. This lets you hear your favorite music or listen to audio books while you run, lift weights or engage in other activities. These J","4.5625","32"
"6324","headphones","Beats by Dr. Dre","Beats Studio Over-Ear Headphones","FREE Shipping on qualified orders.  Beats by Dre has redesigned the Studio 2.0 Over-Ear Headphone, making it stronger, lighter, and fit more comfortably on your head. But some things haven't changed, like the dual-mode Adaptive Noise Cancelling feature. T","3.6308823529411764","4420"
"334000","headphones","Apple","urBeats In-Ear Headphones - Rose Gold","Amazon.com: urBeats In-Ear Headphones - Rose Gold: Electronics","0.0","0"
"6327","headphones","Sol Republic","Master Tracks Over-Ear Headphones (Gun Metal)","FREE Shipping on qualified orders.  Sol Republic knows that when you're rocking out in a cocoon of rich, high-quality sound you can get carried away. So they made the lightweight, tough-as-nails Master Tracks MFI Headphones to not only wrap you up in an e","4.287781954887218","532"
"6337","headphones","Sennheiser","Sennheiser RS110 Over-Ear 926MHz Wireless RF Headphones","The RS 110 is an RF wireless headphone system with open, supra-aural headphones. They feature a transparent, well-balanced sound with excellent bass reproduction, making them an ideal choice for both hi-fi and TV use. The RS 110 is the ideal entry into Se","3.7909769555339174","3081"
"6342","headphones","Sennheiser","Sennheiser HD 205-II Studio Grade DJ Headphones","Buy the Sennheiser HD 205-II Circumaural Closed Headphones at Full Compass. Sennheiser's HD 205-II provides studio-grade detail and frequency response coupled with brilliant shielding of ambient noise.&nbsp; The rotatable ear cup as well as the single-sid","3.8611940298507457","402"
"6348","headphones","Sony","Sony MDRRF985RK Wireless RF Headphone, Black","Untangle your mind and relax with the crisp, personal audio of the Sony Wireless Stereo Headphone System. Featuring comfortable headphones and a wireless monitor, this sleek system provides optimal signal reception and premium sound, all while achieving c","4.0776082937136815","15144"
"6350","headphones","Audio-Technica","Audio-Technica ATH-M40FS Professional Studio Monitor Precision Headphones","Buy Audio-Technica ATH-M40fs 6.3mm Connector Circumaural Precision Studiophone with fast shipping and top-rated customer service.Once you know, you Newegg&#33;","4.245901639344262","61"
"6353","headphones","SOL REPUBLIC","SOL REPUBLIC Tracks HD On-Ear Headphones (Black)","FREE Shipping on qualified orders. Don't miss a beat of your favorite Korean pop songs with the Sol Republic Tracks HD Headphones. The powerful V10 Sound Engines bump heavy bass and clear vocals so you can hear every word of a song in a language you don't","4.389247311827957","1953"
"6354","headphones","Sennheiser","Sennheiser HD-280 PRO Headphones","Buy the Sennheiser HD280 Professional Closed-Back Headphones at Full Compass. The HD280 Professional is Sennheiser's most significant closed, circumaural headphone to be introduced in years. Designed to exceed the demands of the professional environment, ","4.302250190694127","2622"
"334035","headphones","Northwest","Northwest Bluetooth Headset Headphones with Microphone, 72-MA861","The Northwest Bluetooth Headset Headphones, 72-MA861, let you stream music from Bluetooth capable devices. They develop a rich, deep high-quality sound and feature a built-in microphone for easy call answering. There is also a control panel located on the","4.4375","32"
"334034","headphones","JAM","HMDX HX-HP420 Jam Transit Bluetooth Headphones with Microphone","The HMDX HX-HP420 Jam Transit Bluetooth Headphones with Microphone lets you take phone calls on its microphone. Enjoy comfortable listening for hours. HMDX HX-HP420 Jam Transit Bluetooth Headphones with Microphone: Bluetooth technology Precision drivers f","4.46875","32"
"6368","headphones","Sennheiser","Sennheiser PC 360 Headset for Pro Gaming","Developed with the top eSport team mTw, the Sennheiser PC360 G4ME PC Headset with Microphone is a new flagship for pro gaming. It has an open design that makes sure you keep a cool head – and delivers a natural listening experience so you can stay in tou","4.090909090909091","33"
"6373","headphones","Sennheiser","Sennheiser RS 160 Digital Wireless Headphones","Sennheiser RS 160 &bull; KLEER Digital Wireless Over-Ear Headphones with Portable Transmitter and Rechargeable Battery &bull; KLEER Uncompressed Audio Transmission  &bull; Sealed Closed Speaker System  &bull; Compact Portable Transmitter  &bull; Multi-Pur","4.175661650233524","3854"
"6377","headphones","Bose","Bose SIE2i Sport Headphones - Green","Priced $119.99. Categorized under Consumer Electronics >> Portable Audio & Headphones >> Headphones. Condition: New, UPC: 017817600545, Earpiece Design: Earbud (In Ear), Fit Design: In-Ear only, Brand: Bose, Model: SIE2i, MPN: 353769-0010, Connectivity: W","4.133957489878543","1976"
"6378","headphones","Sony","Sony MDR7506 Professional Large Diaphragm Headphone","Buy the Sony MDR7506 Professional Headphones at Full Compass. The Sony&nbsp;MDR-7506 is a large diaphragm foldable headphone designed for professional studio and live/broadcast applications.The MDR7506's are professional, high quality, reference headphone","4.5983898511832155","4099"
"6379","headphones","Sony","Sony MDR X10 X-Series Over-the-Ear Headphones | Black","Buy the Sony X Headphones - Stereo - Black - Mini-phone - Wired - 24 Ohm - 3 Hz - 29 kHz - Gold Plated - Over-the-head - Binaural - Circumaural - 3.94 ft Cable with fast shipping and excellent Customer Service. Rakuten.com","4.662025316455696","79"
"6381","headphones","Apple","Apple Earpods w/ Remote and Mic - MD827LL/A"," Get the Apple EarPods with Remote and Mic at RadioShack.com and see our entire selection of Headphones from Apple. The Apple EarPods with Remote and Mic are designed to rest comfortably inside - and stay inside - a variety of ear types. The audio quality","4.096939403260535","19506"
"6382","headphones","Beats by Dr. Dre","Beats Wireless On-Ear Headphone"," Get the Beats by Dr. Dre Wireless Headphones (Black) at RadioShack.com and see our entire selection of Headphones from Beats by Dr. Dre. Featuring proprietary Monster audio technology and the latest in Bluetooth connectivity, Beats Wireless delivers the ","3.587791932059449","1884"
"344298","headphones","Bose","Bose SoundSport in-ear headphones - Samsung and Android devices, Charcoal","Amazon.com: Bose SoundSport in-ear headphones - Samsung and Android devices,  Charcoal: Electronics","4.172839506172839","81"
"344307","headphones","Blackweb","Blackweb Wireless Earbuds","Put these BlackWeb Wireless Earbuds on and listen to your favorite tunes with superior sound quality. Featuring Bluetooth technology, there is no need to plug anything to your device. They work at a range of up to 8 meters and have approximately 6 hours o","1.90625","32"
"344306","headphones","Ematic","Ematic Wireless Headphones and Transmitter with FM Radio","Warning - Choking Hazard - Children Under 3 This toy is not suitable for ages under 3 years. It contains one or more of the following items: marbles, small ball, or small parts. The Ematic Wireless Headphones and Transmitter with FM Radio let you listen t","3.875","32"
"344316","headphones","Plantronics","Plantronics BackBeat GO 2 In Ear Bluetooth Wireless Stereo Earbuds","These Plantronics BackBeat GO 2 In Ear Bluetooth Wireless Stereo Earbuds bring you a reliability you can enjoy practically everywhere you go. They are durable. These Plantronics earbuds feature a P2i military-grade nano-coating that protects them against ","3.1538461538461537","26"
"6397","headphones","Bose","Bose QuietComfort 15 Acoustic Noise Cancelling Headphones","Bluehost - Top rated web hosting provider - Free 1 click installs For blogs, shopping carts, and more. Get a free domain name, real NON-outsourced 24/7 support, and superior speed. web hosting provider php hosting cheap web hosting, Web hosting, domain na","4.499837186584174","3071"
"344327","headphones","Unbranded/Generic","Wireless 5-in-1 RF Hi Fi Monitoring Headphones w/Microphone & FM Radio Tuner","These MH2001 5-in-1 Hi-Fi S-XBS Wireless Headphones feature comfortable padding so you can wear them for hours on end! They can be used to listen to audio from all sorts of devices; from PCs and televisions, to MP3, CD, and DVD players, in both wired and ","2.4375","32"
"6403","headphones","SOL REPUBLIC","SOL REPUBLIC Tracks Ultra On-Ear Headphones with Remote and Mic","FREE Shipping on qualified orders.  Sol Republic claims the Tracks Ultra Headphone is their best headphone to date, but you don't have to take its word for it; give them a try and hear the difference. The V12 Sound Engines give you mind-numbing bass and s","4.44410480349345","229"
"344320","headphones","Sony","Sony DJ Style Headphones, Black/Red (MDRV55BR)","Whether you're a professional DJ or just a avid music lover, the Sony DJ Style Headphones MDRV55 BR promises to deliver a high-quality sound. This item has reversible earcups that are suited for listening flexibility and easy portability. It is built-in w","3.95","20"
